Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://localhost/#/index,3620,86,2,10,520,2082,1,4297,0.00%,1.99379,4.66,0
http://localhost:8081,3620,39,1,6,89,1450,1,3151,0.00%,1.9938,4.66,0
TOTAL,7240,62,2,8,228,1832,1,4297,0.00%,3.98758,9.32,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,测试时间,,,,,,,,,
,,设置负载均衡,1.325,,,,,,,,,
,,不设置负载均衡,2.528,,,,,,,,,
