Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://localhost/#/index,1020,198,2,156,1909,3071,1,4297,0.000%,.85077,1.99,0.00
http://localhost:8081,1020,96,2,59,964,1737,1,3151,0.000%,.85077,1.99,0.00
TOTAL,2040,147,2,78,1587,2753,1,4297,0.000%,1.70154,3.97,0.00
